"ID","File","Start","End"
1,"10dec_D11_1",123.801,143.728
1,"10dec_D11_1",210.22,257.28
1,"10dec_D31_1",20.981,29.468
1,"10dec_D41_1",21.083,24.517
1,"10dec_D41_1",26.379,31.611
1,"10dec_D41_2",5.915,31.62
1,"10dec_D42_2",1.307,8.809
1,"10dec_D42_2",8.809,14.358
1,"10dec_D42_2",14.358,18.564
1,"10dec_D42_2",18.564,25.948
1,"10dec_D42_2",25.962,29.366
1,"10dec_D43_1",2.571,6.214
1,"10dec_D43_1",24,27.642
1,"10dec_D43_1",29.027,31.42
1,"10dec_D43_2",0.857,9.325
1,"10dec_D43_2",9.325,27.627
1,"10dec_D43_2",27.627,31.42
1,"10dec_D51_1",27.025,29.575
1,"10dec_D52_1",27.285,30.46
1,"10dec_D72_2",19.2,24.894
1,"10dec_K12_1",29.264,33.888
1,"10dec_K21_1",25.226,28.785
1,"10dec_K21_2",4.463,14.814
1,"10dec_K21_2",18.714,33.175
1,"10dec_K22_2",11.5,17.75
1,"10dec_K22_2",24.627,28.567
1,"10dec_K31_1",27.176,32.29
1,"10dec_K41_1",0.714,30.5
1,"10dec_K41_2",17.955,20.469
1,"10dec_K42_1",3.346,22.153
1,"10dec_K42_1",22.166,22.178
1,"10dec_K42_1",25,30.48
1,"10dec_K42_2",11.857,14.144
1,"10dec_K42_2",18.821,20.785
1,"10dec_K51_1",0.918,14.857
1,"10dec_K51_1",14.867,16.693
1,"10dec_K51_1",16.693,23.142
1,"10dec_K51_1",23.142,25.035
1,"10dec_K51_1",25.035,30.56
1,"10dec_K51_2",6,30.54
1,"10dec_K52_1",0.034,2.4
1,"10dec_K52_2",0.107,21.928
1,"10dec_K53_1",0.178,9.142
1,"10dec_K53_1",10.642,14.25
1,"10dec_K53_1",18.928,30.071
1,"10dec_K53_2",13.253,16.5
1,"10dec_K53_2",19.961,30.1
1,"10dec_K61_2",15.857,20.535
1,"10dec_K61_2",21.678,30.795
1,"10dec_O12_1",2.425,29.8
1,"10dec_O13_1",0.811,44.185
1,"10dec_O14_2",38.606,40.869
1,"10dec_O17_2",0.312,10.54
1,"10dec_O17_2",10.54,12.938
1,"10dec_O17_2",12.944,20.061
1,"10dec_O17_2",20.061,22.642
1,"10dec_O17_2",22.642,31.311
1,"14dec_D11_1",9.622,12.71
1,"14dec_D11_1",12.713,35.142
1,"14dec_D12_1",8.358,9.714
1,"14dec_D12_1",18.522,31.473
1,"14dec_D12_1",31.499,39.078
1,"14dec_D12_2",35.75,38.501
1,"14dec_D13_1",16.576,21
1,"14dec_D13_1",21.035,30.096
1,"14dec_D14_1",4.571,30.035
1,"14dec_D41_2",20.719,49.335
1,"14dec_D42_2",9.956,48.1
1,"14dec_D43_2",12.823,53
1,"14dec_D64_1",28.259,33.781
1,"14dec_D65_1",23.607,40
1,"14dec_K11_1",14.857,17.714
1,"14dec_K11_1",23,31.964
1,"14dec_K11_1",34.035,41.8
1,"14dec_K11_2",24.535,40.035
1,"14dec_K13_1",18.6,29
1,"14dec_K13_1",49.25,50.975
1,"14dec_K22_1",101.033,107.029
1,"14dec_K32_1",2.238,34.74
1,"14dec_K32_2",13.392,14.857
1,"14dec_K32_2",19.911,25.877
1,"14dec_K32_2",31.5,34.696
1,"14dec_K33_1",5.346,34.951
1,"14dec_K33_1",52.6,64.535
1,"14dec_K33_1",69.952,100.8
1,"14dec_K33_2",9.213,16.1
1,"14dec_K33_2",18.3,35.6
1,"14dec_K33_2",63.6,74.882
1,"14dec_K33_2",79.7,94.69
1,"14dec_K41_1",10.5,21.8
1,"14dec_K41_1",80.322,115.378
1,"14dec_K41_1",251.652,282.143
2,"10dec_O12_1",16.92,26.946
2,"10dec_O13_1",36.9,44.26
2,"10dec_O13_2",0,43.93
2,"10dec_O14_1",36.15,39.55
2,"10dec_O15_2",29.108,34.892
2,"10dec_O17_1",27.846,31.34
2,"10dec_O17_2",10.986,12.906
2,"10dec_O17_2",19.435,26.2
2,"14dec_D11_2",30.702,33.729
2,"14dec_D12_1",18.08,22.98
2,"14dec_D12_1",30.6,38.98
2,"14dec_D12_2",30.837,39.21
2,"14dec_D14_1",4.229,24.067
2,"14dec_D32_2",7.892,41.035
2,"14dec_D33_2",35.83,37.494
2,"14dec_D34_2",6.731,25.805
2,"14dec_D34_2",36.014,51
2,"14dec_D41_2",20.81,49.094
2,"14dec_D42_2",7.82,48.093
2,"14dec_D43_2",14.43,53.11
2,"14dec_K22_1",103.22,105.513
2,"14dec_K32_1",1.54,34.533
2,"14dec_K32_2",5.4,10.68
2,"14dec_K32_2",19.52,24.52
2,"14dec_K32_2",28.6,34.372
2,"14dec_K33_1",5.02,19.08
2,"14dec_K33_1",31.48,34.84
2,"14dec_K33_1",51.7,63.72
2,"14dec_K33_1",75.1,79.6
2,"14dec_K33_1",82.68,91.74
2,"14dec_K33_1",94.46,99.84
2,"14dec_K33_2",7.25,14.14
2,"14dec_K33_2",18.865,32.915
2,"14dec_K33_2",61.62,72.566
2,"14dec_K33_2",81.26,93.026
2,"14dec_K52_1",14.226,21.813
2,"14dec_K52_1",29.153,46.526
2,"15dec_D11_1",11.805,14.66
2,"15dec_D11_1",16.63,39.535
2,"15dec_D11_2",29.35,33.846
2,"15dec_D11_2",35.136,37.673
2,"15dec_D12_1",13.706,24.826
2,"15dec_D12_1",28.88,45.746
2,"15dec_D12_1",98.046,100.926
2,"15dec_D12_1",105.98,130.346
2,"15dec_D33_1",34,43.895
2,"15dec_D33_2",20.146,26.373
2,"15dec_D33_2",26.98,34.326
2,"15dec_D33_2",36.68,48.726
2,"15dec_D41_2",28.642,63.75
2,"15dec_D41_2",145.035,181.035
2,"15dec_D41_2",265.4,295.428
2,"15dec_D43_1",8.97,12.81
2,"15dec_D43_1",23.82,30.85
2,"15dec_D43_2",35.15,43.705
2,"15dec_D61_1",56.76,58.093
2,"15dec_D63_1",21.77,25.26
2,"15dec_D63_1",29.01,30.94
2,"15dec_D63_2",25.7,27.41
2,"15dec_D63_2",40.2,44.475
3,"14dec_D64_1",28.23,33.49
3,"14dec_D65_1",23.77,28.655
3,"14dec_D65_1",31.64,37.39
3,"14dec_K11_1",21.58,32
3,"14dec_K11_1",38.73,41.84
3,"14dec_K11_2",29.7,31.76
3,"14dec_K13_1",22.935,25.334
3,"14dec_K13_1",35.69,41.86
3,"14dec_K13_1",46.07,51.24
3,"14dec_K22_1",102.08,107.25
3,"14dec_K32_1",1.405,34.52
3,"14dec_K32_2",5.04,34.71
3,"14dec_K33_1",4.57,35.47
3,"14dec_K33_1",51.54,66.15
3,"14dec_K33_1",71.46,100.92
3,"14dec_K33_2",7.1,34.72
3,"14dec_K33_2",63.82,99.79
3,"14dec_K41_1",9.49,26.13
3,"14dec_K41_1",96.88,101.341
3,"14dec_K41_1",259.99,280.68
3,"14dec_K41_2",104.56,107.89
3,"14dec_K44_1",14.82,18.38
3,"15dec_D11_1",11.85,39.55
3,"15dec_D11_2",28.82,39.02
