"ID","File","Start","End"
1,"10dec_D51_1",7.558,27.025
1,"10dec_D51_1",28.724,31.06
1,"10dec_D51_2",4.45,9.954
1,"10dec_D51_2",9.954,16.313
1,"10dec_D51_2",16.318,20.366
1,"10dec_D51_2",20.366,23.7
1,"10dec_D51_2",23.704,31.045
1,"10dec_D52_1",10,27.285
1,"10dec_D52_2",1.321,30.428
1,"10dec_D63_1",8.416,9.116
1,"10dec_D63_1",9.999,10.439
1,"10dec_K51_1",8.346,10.52
1,"10dec_K51_1",15.183,16.836
1,"10dec_K51_1",22.581,24.795
1,"10dec_K51_2",18.33,19.33
1,"10dec_K52_2",3.437,5.321
1,"10dec_K52_2",15.086,19.396
1,"10dec_K53_1",0.071,0.6
1,"10dec_K53_2",8.411,10.205
1,"10dec_K53_2",13.285,16.535
1,"10dec_K53_2",16.535,19.926
1,"10dec_O13_1",29.592,34.037
1,"14dec_D51_1",18,35.178
1,"14dec_D51_2",17.572,26.666
1,"14dec_D51_2",30.061,35.761
1,"14dec_D52_1",29.137,36.862
1,"14dec_D52_1",42.411,61
1,"14dec_D52_1",81.686,86.363
1,"14dec_D53_1",29.384,88.692
1,"14dec_D53_2",31.1,38.42
1,"14dec_D53_2",39.85,43.82
1,"14dec_D53_2",48.3,53.6
1,"14dec_D53_2",65.3,88.8
1,"14dec_K41_1",14.9,26.955
1,"14dec_K41_1",87.919,93.6
1,"14dec_K41_1",101.9,106.2
1,"14dec_K41_1",256.189,282.298
1,"14dec_K41_2",16.042,23.7
1,"14dec_K41_2",84.886,101.236
1,"14dec_K41_2",104.63,107.1
1,"14dec_K41_2",251.619,261.1
1,"14dec_K41_2",261.8,273.828
1,"14dec_K41_2",278.485,282.722
1,"14dec_K44_1",3.537,20.785
1,"14dec_K44_1",29.071,31.58
1,"14dec_K44_2",2.124,15.437
1,"14dec_K44_2",21.035,23.5
1,"14dec_K45_1",15.405,30.189
1,"14dec_K45_1",33.729,42.864
1,"14dec_K45_2",14.285,44.142
1,"14dec_K51_1",29.6,34.159
1,"14dec_K51_1",36.629,42.2
2,"10dec_O13_1",29.99,34.44
2,"14dec_D51_1",18.577,35.578
2,"14dec_D51_2",16.6,28.12
2,"14dec_D51_2",29.44,36.23
2,"14dec_D52_1",42.24,61.86
2,"14dec_D52_1",79.18,86.38
2,"14dec_D52_2",40.675,56.516
2,"14dec_D52_2",78.837,86.837
2,"14dec_D53_1",28.783,37.243
2,"14dec_D53_1",72.324,89.2
2,"14dec_D53_2",31.933,44.386
2,"14dec_D53_2",52.28,54.2
2,"14dec_D53_2",65.426,68.706
2,"14dec_D53_2",70.81,88.918
2,"14dec_K41_1",15.04,26.256
