"ID","File","Start","End"
1,"10dec_D11_1",104.75,116.5
1,"10dec_D11_1",199.3,210.22
1,"10dec_D42_1",27.153,29.44
1,"10dec_D52_2",27.47,30.46
1,"10dec_D61_1",24.641,26.321
1,"10dec_D61_2",0.964,13.178
1,"10dec_D61_2",16.535,20.922
1,"10dec_D61_2",23.26,28.133
1,"10dec_D62_2",2.107,4.464
1,"10dec_D62_2",17.779,18.367
1,"10dec_D62_2",19.823,24.227
1,"10dec_D63_1",4.776,7.624
1,"10dec_D63_1",9.416,9.997
1,"10dec_D63_1",12.457,13.661
1,"10dec_D63_1",17.243,20.591
1,"10dec_D63_2",4.656,7.148
1,"10dec_D63_2",7.15,12.467
1,"10dec_D63_2",12.467,14.453
1,"10dec_D63_2",14.453,18.6
1,"10dec_D63_2",18.6,20.62
1,"10dec_D64_2",19.285,20.964
1,"10dec_D64_2",24.285,27.178
1,"10dec_D64_2",29.571,31.142
1,"10dec_D64_2",35.755,36.14
1,"10dec_D71_1",1.602,8.488
1,"10dec_D71_1",8.49,11.516
1,"10dec_D71_1",11.516,15.737
1,"10dec_D71_1",15.742,17.958
1,"10dec_D71_1",17.958,23.428
1,"10dec_D72_1",3.84,6.756
1,"10dec_D72_1",6.772,12.063
1,"10dec_D72_1",12.063,18.27
1,"10dec_D72_1",18.278,21.135
1,"10dec_D72_1",21.135,29.648
1,"10dec_D72_2",27.78,29.011
1,"10dec_K21_1",3.869,23.678
1,"10dec_K21_1",25.209,28.785
1,"10dec_K21_1",32.987,33.44
1,"10dec_K21_2",14.928,20.821
1,"10dec_K22_1",1.571,31.107
1,"10dec_K22_2",8.88,10.047
1,"10dec_K22_2",19.5,20.428
1,"10dec_K31_2",4.035,32.321
1,"10dec_K41_2",3.264,4.073
1,"10dec_K41_2",7.352,12.044
1,"10dec_K41_2",16.058,17.955
1,"10dec_K41_2",20.47,30.5
1,"10dec_K42_2",6.214,7.428
1,"10dec_K42_2",8.892,10.535
1,"10dec_K42_2",23.188,25.259
1,"10dec_K42_2",27.142,29.964
1,"10dec_K52_1",3.793,5.857
1,"10dec_K52_1",8.107,21.854
1,"10dec_K53_1",9.108,10.589
1,"10dec_K53_1",14.24,18.931
1,"10dec_K61_1",2.239,17.756
1,"10dec_K61_1",23.461,27.064
1,"10dec_K71_1",0.607,11.035
1,"10dec_K71_1",11.035,23.392
1,"10dec_K72_1",0.321,9.857
1,"10dec_K72_1",17.428,20.968
1,"10dec_O12_2",0.142,3.785
1,"10dec_O12_2",3.785,9.485
1,"10dec_O12_2",9.491,11.34
1,"10dec_O12_2",11.347,29.75
1,"14dec_D12_1",8.346,10.75
1,"14dec_D21_1",6.571,13.321
1,"14dec_D21_1",22.323,40.821
1,"14dec_D21_2",5.785,40
1,"14dec_D22_1",4.785,34.285
1,"14dec_D22_2",1.142,31.213
1,"14dec_D33_1",33.725,36.875
1,"14dec_D71_1",13.681,32.531
1,"14dec_D71_2",11.899,23.321
1,"14dec_D71_2",29.824,33
1,"14dec_D72_1",5.512,16.821
1,"14dec_D72_1",20.461,30.035
1,"14dec_D72_2",4.937,12.642
1,"14dec_D72_2",14.75,17.357
1,"14dec_D72_2",20.216,27.895
1,"14dec_D73_1",8.009,8.75
1,"14dec_D73_1",15.214,18.035
1,"14dec_D73_1",35.142,39.65
1,"14dec_D73_2",3.442,10.183
1,"14dec_D73_2",35.925,39.681
1,"14dec_D74_1",5.657,16.964
1,"14dec_D74_2",15,20.686
1,"14dec_K22_1",97.693,100.927
1,"14dec_K22_1",178,182.513
1,"14dec_K22_2",37.8,38.5
1,"14dec_K22_2",176.077,190.2
1,"14dec_K33_1",68.7,74.1
1,"14dec_K41_1",26.2,32.295
1,"14dec_K41_2",23.2,29.1
1,"14dec_K41_2",112.128,114.928
1,"14dec_K44_2",28.285,31.58
1,"14dec_K51_1",21.4,25.7
1,"14dec_K51_2",5.235,42.417
1,"14dec_K51_2",124.411,147.05
1,"14dec_K52_2",3.529,43.873
1,"14dec_K54_1",4.802,10.464
1,"14dec_K54_1",13.837,17.428
1,"14dec_K54_1",28.321,32.678
1,"14dec_K54_2",5.749,32.856
1,"14dec_K61_1",2,22.785
1,"14dec_K61_2",11.131,23.285
1,"14dec_K61_2",30.181,34.002
1,"14dec_K62_1",0.964,15.035
1,"14dec_K62_1",19.204,25.176
1,"14dec_K62_2",24.5,27.047
1,"14dec_K63_1",1.552,10.928
1,"14dec_K63_1",19.214,33.921
1,"14dec_K63_2",30.122,32.535
2,"10dec_N11_2",321.76,325.24
2,"10dec_N11_2",333.2,335.48
2,"10dec_N11_2",341.92,345
2,"10dec_N11_2",432.6,436.63
2,"10dec_O11_2",12.428,15.093
2,"10dec_O12_2",0.37,5.11
2,"10dec_O12_2",7.18,11.38
2,"14dec_D21_1",4.99,41.88
2,"14dec_D21_2",5.26,40.44
2,"14dec_D22_1",0.013,34.453
2,"14dec_D22_2",0.24,31.74
2,"14dec_D71_1",11.729,19.972
2,"14dec_D71_1",29.148,32.554
2,"14dec_D71_1",37.702,44.864
2,"14dec_D71_2",11.11,20.71
2,"14dec_D71_2",29.74,32.91
2,"14dec_D72_1",4.29,14.29
2,"14dec_D72_1",20.6,32.93
2,"14dec_D72_1",35.12,39
2,"14dec_D72_2",4.98,16.77
2,"14dec_D72_2",20.42,32.31
2,"14dec_D72_2",36.46,39.04
2,"14dec_D73_1",15.59,17.93
2,"14dec_D73_1",35.03,39.82
2,"14dec_D73_2",4.22,11.44
2,"14dec_D73_2",23.03,26.78
2,"14dec_D73_2",34.85,39.8
2,"14dec_D74_2",6.16,21.113
2,"14dec_K22_1",68.92,70.52
2,"14dec_K22_1",79.54,82.09
2,"14dec_K22_1",97.693,100.7
2,"14dec_K33_1",0.38,2.4
2,"14dec_K41_1",0,2.891
2,"14dec_K41_1",26.283,33.932
2,"14dec_K41_1",116.891,122.594
2,"14dec_K41_1",177.945,190.81
2,"14dec_K41_1",196.945,202.486
2,"14dec_K41_1",214.54,217.351
2,"14dec_K41_2",0,4.229
2,"14dec_K41_2",30.756,36.013
2,"14dec_K41_2",112.621,118.297
2,"14dec_K41_2",182.189,201.837
2,"14dec_K51_1",43.346,45.466
2,"14dec_K51_1",47.506,54.186
2,"14dec_K51_1",63.706,71.773
2,"14dec_K51_2",5.162,12.148
2,"14dec_K51_2",15.283,42.445
2,"14dec_K51_2",48.067,50.986
2,"14dec_K51_2",120.837,146.756
2,"14dec_K52_1",55.453,73.593
2,"14dec_K52_1",86.686,91.04
2,"14dec_K52_1",104.086,109.793
2,"14dec_K52_2",3.906,42.033
2,"14dec_K52_2",56.646,72.886
2,"14dec_K52_2",105.64,107.513
2,"14dec_K54_1",4.705,10.375
2,"14dec_K54_2",5.785,32.225
2,"14dec_K61_1",1.813,21.96
