"ID","File","Start","End"
1,"10dec_D11_1",1.2,104.182
1,"10dec_D11_1",144.461,199.517
1,"10dec_D11_1",257.812,360.125
1,"10dec_D31_1",0.107,4.192
1,"10dec_D41_1",0.035,5.841
1,"10dec_D42_2",0.102,0.948
1,"10dec_D51_1",0.025,5.225
1,"10dec_D61_2",13.178,16.535
1,"10dec_D61_2",20.933,23.266
1,"10dec_D61_2",28.107,30.7
1,"10dec_D71_2",0.54,29.837
1,"10dec_K61_1",17.882,23.352
1,"10dec_K61_1",27.117,30.705
1,"10dec_K71_1",23.392,33.68
1,"10dec_K72_1",9.857,17.428
1,"10dec_K72_1",21,30.821
1,"10dec_K72_2",0.178,7.535
1,"10dec_K72_2",12.678,19.535
1,"10dec_K72_2",22.321,29.178
1,"10dec_N11_1",94.992,122.192
1,"10dec_N11_1",142.524,179.786
1,"10dec_N11_1",198.928,245.213
1,"10dec_N11_1",261.354,311.218
1,"10dec_N11_1",349.664,389.503
1,"10dec_N11_1",444.364,476.3
1,"10dec_N11_1",504.798,550.13
1,"10dec_N11_1",589.656,637.8
1,"10dec_N11_1",653.821,681.31
1,"10dec_N11_1",687.548,732.27
1,"10dec_N11_2",93.755,121.543
1,"10dec_N11_2",140.723,178.079
1,"10dec_N11_2",197.474,245.193
1,"10dec_N11_2",260.007,309.852
1,"10dec_N11_2",350.129,389.242
1,"10dec_N11_2",442.555,475.357
1,"10dec_N11_2",503.912,548.504
1,"10dec_N11_2",589.369,638.645
1,"10dec_N11_2",652.783,680.701
1,"10dec_N11_2",686.489,732.18
1,"10dec_O15_2",0.142,6.75
1,"10dec_O15_2",10.25,35
1,"14dec_D33_1",1.5,9.65
1,"14dec_N11_1",0.178,13.5
1,"14dec_N11_2",0.25,12.357
1,"14dec_N12_1",0,12.255
1,"14dec_N12_2",0,12.071
2,"10dec_N11_2",94.95,124.13
2,"10dec_N11_2",134.27,180.69
2,"10dec_N11_2",195.53,222.15
2,"10dec_N11_2",228.16,250.19
2,"10dec_N11_2",260.23,308.93
2,"10dec_N11_2",352.87,395.04
2,"10dec_N11_2",440.52,466.33
2,"10dec_N11_2",498.73,533.63
2,"10dec_N11_2",583.94,591.2
2,"10dec_N11_2",647.71,656.63
2,"10dec_N11_2",671.12,731.4
2,"14dec_D13_1",1.702,5.148
2,"14dec_D31_1",2.356,6.376
2,"14dec_D34_1",2.693,9.16
2,"14dec_D41_2",10.594,13.5
