"ID","File","Start","End"
1,"10dec_D31_1",7.714,21.136
1,"10dec_D31_1",21.136,31.2
1,"10dec_D31_2",3.432,29.1
1,"10dec_D41_1",5.875,31.62
1,"10dec_D42_1",5.772,11.749
1,"10dec_D42_1",11.749,12.545
1,"10dec_D42_1",12.545,14.954
1,"10dec_D42_1",14.954,15.772
1,"10dec_D42_1",15.772,22.159
1,"10dec_D43_1",2.606,24.035
1,"10dec_D43_1",24.035,27.642
1,"10dec_D43_1",27.642,31.42
1,"10dec_D52_1",18.857,26.692
1,"10dec_D61_1",1.321,13.207
1,"10dec_D61_1",26.321,30.7
1,"10dec_D62_1",1.083,31.24
1,"10dec_K21_2",6.142,7.652
1,"10dec_K21_2",10.428,13.326
1,"10dec_K21_2",22.285,33.285
1,"10dec_K22_2",4.076,31.115
1,"10dec_K31_1",1.771,32.321
1,"10dec_K41_2",0.5,30.5
1,"10dec_K42_1",0.857,30.48
1,"10dec_K42_2",2.892,30.48
1,"10dec_O13_2",0.222,44.259
1,"10dec_O14_1",0.999,46.458
1,"10dec_O14_2",3,46.304
1,"10dec_O17_1",13.714,31.34
1,"14dec_D31_1",4.583,32.686
1,"14dec_D31_2",3.75,32.252
1,"14dec_D32_1",4.714,45.6
1,"14dec_D32_2",3.285,45.6
1,"14dec_D33_1",9.671,33.725
1,"14dec_D33_1",33.746,36.871
1,"14dec_D33_1",36.871,42.25
1,"14dec_D33_1",42.271,44.75
1,"14dec_D33_2",2.352,29.729
1,"14dec_D33_2",29.732,34.401
1,"14dec_D33_2",34.405,47.812
1,"14dec_D34_1",4.8,53.24
1,"14dec_D34_2",2.529,28.021
1,"14dec_D34_2",28.021,43.117
1,"14dec_D34_2",43.119,53.22
1,"14dec_D43_1",15.114,41.15
1,"14dec_D63_2",22.75,29.035
1,"14dec_K21_1",5.37,36.515
1,"14dec_K21_2",7.356,41.214
1,"14dec_K22_1",20.9,38.2
1,"14dec_K22_1",107.176,122.767
1,"14dec_K22_1",164.478,178
1,"14dec_K22_1",182.667,207.357
1,"14dec_K22_2",6.388,37.825
1,"14dec_K22_2",89.6,121.454
1,"14dec_K22_2",169.02,175.617
1,"14dec_K22_2",190.279,207.337
1,"14dec_K32_2",8.428,10.571
1,"14dec_K32_2",27.321,34.72
1,"14dec_K33_2",88.9,93.95
2,"10dec_O13_2",1.508,28.408
2,"10dec_O13_2",43.11,44.259
2,"14dec_D11_1",23.395,25.29
2,"14dec_D31_1",7.083,33.55
2,"14dec_D31_2",4.08,14.84
2,"14dec_D31_2",15.89,17.9
2,"14dec_D31_2",28.01,33.42
2,"14dec_D32_1",6.121,12.648
2,"14dec_D32_1",21.662,45.581
2,"14dec_D32_2",18.642,45.535
2,"14dec_D33_1",10.946,34.053
2,"14dec_D33_2",3.5,32.75
2,"14dec_D33_2",35.035,39.214
2,"14dec_D34_1",21.106,53.21
2,"14dec_D34_2",18.226,33.444
2,"14dec_D34_2",35.973,53.186
2,"14dec_D43_1",16.285,36.642
2,"14dec_D62_1",31.966,40.93
2,"14dec_K21_1",9.86,34.318
2,"14dec_K21_2",10.54,18.918
2,"14dec_K21_2",30.486,35.945
2,"14dec_K22_1",16.57,19.98
2,"14dec_K22_1",26.02,27.757
2,"14dec_K22_1",34.835,38.67
2,"14dec_K22_1",91.845,97.185
2,"14dec_K22_1",100.706,102.186
2,"14dec_K22_1",105.52,109.846
2,"14dec_K22_1",110.54,119.886
2,"14dec_K22_1",165.966,174.486
2,"14dec_K22_1",185.36,207.386
2,"14dec_K22_2",17.189,19.824
2,"14dec_K22_2",32.689,37.256
2,"14dec_K22_2",90.094,119.094
2,"14dec_K22_2",166.918,176.04
2,"14dec_K22_2",189.283,207.391
2,"14dec_K32_2",31.36,34.34
2,"15dec_D11_2",2.902,7.133
2,"15dec_D31_1",22.245,47.465
2,"15dec_D31_1",87.975,131.61
2,"15dec_D31_2",4.75,47.414
2,"15dec_D31_2",77.5,87.78
2,"15dec_D31_2",95.66,134.11
2,"15dec_D33_1",17.19,49
2,"15dec_D33_2",4.126,48.726
2,"15dec_D43_1",16.07,21.8
2,"15dec_D43_1",31.09,35.07
2,"15dec_D61_1",8.933,10.393
2,"15dec_D63_1",33.92,38.45
3,"14dec_K21_1",16.87,34.42
3,"14dec_K21_2",10.61,24.37
3,"14dec_K21_2",30.559,36.59
3,"14dec_K22_1",7.999,20
3,"14dec_K22_1",23.54,27.59
3,"14dec_K22_1",94.62,120.05
3,"14dec_K22_1",164.25,178.26
3,"14dec_K22_1",184.86,207.36
3,"14dec_K22_2",14.25,37.27
3,"14dec_K22_2",89.24,121.19
3,"14dec_K22_2",166.8,179.13
3,"14dec_K22_2",191.72,207.4
3,"15dec_D31_1",22.66,47.26
3,"15dec_D31_1",87.81,132.134
3,"15dec_D31_2",4.67,47.635
3,"15dec_D31_2",77.58,132.377
3,"15dec_D33_1",16.93,48.98
3,"15dec_D33_2",4.12,20.03
3,"15dec_D41_1",3.42,21.17
3,"15dec_K21_1",1.81,51.13
3,"15dec_K21_2",13.83,24.4
3,"15dec_K22_1",2.53,47.47
3,"15dec_K22_2",8.86,47.46
3,"15dec_K23_1",3.559,42.26
3,"15dec_K23_2",9.6,43.01
4,"14dec_N14_2",4.572,10.245
4,"14dec_N16_1",33.779,44.53
4,"14dec_N16_2",40.507,44.671
4,"14dec_N17_2",0.764,4.967
4,"14dec_N17_2",28.031,34.444
