"ID","File","Start","End"
1,"10dec_D31_1",13.013,21.127
1,"10dec_D31_2",3.351,29.054
1,"10dec_D41_1",5.892,31.62
1,"10dec_D42_1",5.772,11.749
1,"10dec_D42_1",15.772,21.136
1,"10dec_D43_1",6.214,24.035
1,"10dec_D51_1",7.55,31.05
1,"10dec_D51_2",4.488,31.022
1,"10dec_D52_1",0.285,10.035
1,"10dec_D52_2",26.047,26.928
1,"10dec_D61_1",13.202,17.507
1,"10dec_D61_1",17.509,20.214
1,"10dec_D61_1",20.214,24.634
1,"10dec_D62_1",1.083,13.041
1,"10dec_D62_1",13.041,16.035
1,"10dec_D62_1",16.041,25.867
1,"10dec_D62_1",25.867,28.762
1,"10dec_D62_1",28.791,31.24
1,"10dec_D63_1",9.999,12.458
1,"10dec_D63_1",13.666,20.596
1,"10dec_D64_1",2.071,36.14
1,"10dec_D64_2",21.273,23.357
1,"10dec_D64_2",33.071,35.5
1,"10dec_K12_1",4.643,34.878
1,"10dec_K12_2",11.147,25.676
1,"10dec_K12_2",26.881,34.88
1,"10dec_K22_1",16.571,19.892
1,"10dec_K72_1",4.62,9.068
1,"10dec_K72_1",17.428,20.982
1,"10dec_O14_1",2.087,9.6
1,"10dec_O14_1",9.603,28.72
1,"10dec_O14_1",28.72,46.44
1,"10dec_O15_1",0.323,35
1,"10dec_O16_2",1.332,42.48
1,"10dec_O17_1",0.178,31.34
1,"10dec_O17_2",0.351,31.297
1,"14dec_D11_1",6.872,9.642
1,"14dec_D11_2",1.389,12.999
1,"14dec_D11_2",12.999,17.479
1,"14dec_D11_2",20.369,29.475
1,"14dec_D11_2",31.298,35.642
1,"14dec_D12_2",1.249,18.538
1,"14dec_D12_2",24.071,39.428
1,"14dec_D13_1",9.607,16.607
1,"14dec_D13_2",1.094,15.434
1,"14dec_D13_2",15.434,21.357
1,"14dec_D13_2",21.357,25.178
1,"14dec_D13_2",25.178,30
1,"14dec_D14_1",0.607,4.607
1,"14dec_D14_2",0.75,13.178
1,"14dec_D14_2",14.785,20.549
1,"14dec_D14_2",23.75,29.607
1,"14dec_D41_1",1.434,50.173
1,"14dec_D42_1",3.031,47.762
1,"14dec_D43_1",3.25,15.05
1,"14dec_D43_1",41.171,53.021
1,"14dec_D61_1",1.173,51.653
1,"14dec_D61_2",0.705,53.703
1,"14dec_D62_1",4.66,43.705
1,"14dec_D62_2",1.258,17.574
1,"14dec_D62_2",17.592,43.688
1,"14dec_D63_1",1.614,36.98
1,"14dec_D63_2",1,36.98
1,"14dec_D64_1",0.705,46.777
1,"14dec_D64_2",2.36,15.702
1,"14dec_D64_2",15.702,46.529
1,"14dec_D65_1",1.902,23.607
1,"14dec_D65_1",23.607,40.035
1,"14dec_D65_2",2.357,19.035
1,"14dec_D65_2",19.035,40.085
1,"14dec_K11_1",2.362,41.774
1,"14dec_K11_2",2.5,24.571
1,"14dec_K12_1",12.035,22.857
1,"14dec_K12_1",22.857,25.035
1,"14dec_K12_1",25.035,26.642
1,"14dec_K12_1",26.642,47.606
1,"14dec_K12_2",29.25,47.428
1,"14dec_K13_1",10.749,29.008
1,"14dec_K13_1",29.008,49.308
1,"14dec_K13_1",49.308,50.958
1,"14dec_K13_2",14.964,50.882
2,"10dec_O12_1",1.4,29.84
2,"10dec_O13_1",0.64,38.69
2,"10dec_O14_1",2.178,9.09
2,"10dec_O14_1",19.255,48.665
2,"10dec_O15_1",4.607,30.09
2,"10dec_O15_2",7.357,17.035
2,"10dec_O15_2",18.107,25.464
2,"10dec_O16_2",0.88,41.665
2,"10dec_O17_1",0,6.486
2,"10dec_O17_2",1.55,11.146
2,"10dec_O17_2",27.22,31.34
